ticket_id,customer_id,ticket_date,issue_type,issue_description,priority,ticket_status,resolution_days
TICK000258,CUST0156,2025-07-06,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,In Progress,
TICK000259,CUST0156,2023-03-10,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Critical,Closed,0
TICK000260,CUST0156,2024-09-18,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,8
TICK000261,CUST0156,2025-05-20,Service Outage,Customer reported internet and TV outage affecting remote work.,Critical,Closed,3
TICK000262,CUST0157,2023-10-31,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Open,
TICK000263,CUST0157,2023-11-06,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Open,
TICK000264,CUST0157,2025-10-19,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,1
TICK000265,CUST0158,2026-02-05,Internet,Customer complained about repeated internet drops during work-from-home hours.,Critical,Open,
TICK000266,CUST0158,2023-03-30,TV,Customer asked about channel package details.,High,In Progress,
TICK000267,CUST0158,2025-03-25,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Low,Closed,0
TICK000268,CUST0158,2023-05-10,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,10
TICK000269,CUST0158,2023-12-02,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,In Progress,
TICK000270,CUST0158,2025-08-17,TV,Customer asked about channel package details.,Critical,In Progress,
TICK000271,CUST0159,2018-02-03,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,9
TICK000272,CUST0161,2025-03-26,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Low,Closed,5
TICK000273,CUST0161,2021-12-07,Service Outage,Customer confirmed service was restored after the outage notification.,Low,Closed,0
TICK000274,CUST0161,2023-01-10,Billing,Customer thanked support for explaining the promotional discount on the bill.,Medium,Closed,9
TICK000275,CUST0161,2021-02-22,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,10
TICK000276,CUST0162,2023-02-04,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,9
TICK000277,CUST0162,2024-03-08,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,8
TICK000278,CUST0162,2024-03-19,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Closed,5
TICK000279,CUST0162,2024-07-21,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Closed,1
TICK000280,CUST0163,2026-05-20,TV,Customer confirmed TV channels were restored after support assistance.,Medium,Closed,8
TICK000281,CUST0163,2025-01-30,Billing,Customer thanked support for explaining the promotional discount on the bill.,High,Closed,5
TICK000282,CUST0163,2024-02-19,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,10
TICK000283,CUST0164,2024-06-01,TV,Customer requested help with streaming app login.,Low,Closed,9
TICK000284,CUST0164,2024-06-02,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Open,
TICK000285,CUST0165,2024-04-27,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,7
TICK000286,CUST0166,2024-09-23,Mobile,Customer requested help activating a new mobile line.,Critical,In Progress,
TICK000287,CUST0166,2023-08-06,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Open,
TICK000288,CUST0166,2024-02-19,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,4
TICK000289,CUST0166,2023-05-18,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,0
TICK000290,CUST0167,2024-10-14,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,Closed,0
TICK000291,CUST0167,2026-04-22,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,In Progress,
TICK000292,CUST0167,2025-03-31,TV,Customer reported missing channels from the TV package.,Critical,Closed,1
TICK000293,CUST0167,2024-08-10,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,6
TICK000294,CUST0167,2025-05-02,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Critical,In Progress,
TICK000295,CUST0167,2026-05-09,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,7
TICK000296,CUST0167,2025-07-24,Billing,Customer was frustrated that payment was posted but balance still showed due.,Critical,In Progress,
TICK000297,CUST0168,2026-03-08,TV,Customer reported missing channels from the TV package.,Medium,Closed,3
TICK000298,CUST0169,2022-08-30,Billing,Customer asked why promotional pricing changed this month.,Low,Closed,0
TICK000299,CUST0170,2021-01-10,TV,Customer asked about channel package details.,Low,Closed,1
TICK000300,CUST0172,2020-05-04,TV,Customer experienced pixelation while watching live TV.,Low,Closed,6
TICK000301,CUST0174,2024-01-16,Billing,Customer asked why promotional pricing changed this month.,Medium,Open,
TICK000302,CUST0174,2025-09-06,Mobile,Customer reported dropped calls and slow mobile data speeds.,High,Closed,2
TICK000303,CUST0174,2022-11-24,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,4
TICK000304,CUST0175,2025-10-28,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,2
TICK000305,CUST0176,2025-11-11,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,4
TICK000306,CUST0178,2024-10-08,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,9
TICK000307,CUST0178,2025-02-10,Mobile,Customer confirmed mobile line activation was completed successfully.,Medium,In Progress,
TICK000308,CUST0178,2023-12-15,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Low,Closed,8
TICK000309,CUST0178,2024-05-12,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,8
TICK000310,CUST0180,2023-04-09,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,1
TICK000311,CUST0181,2024-06-20,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Open,
TICK000312,CUST0182,2025-09-19,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,8
TICK000313,CUST0183,2022-08-20,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,0
TICK000314,CUST0183,2021-07-23,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Low,Open,
TICK000315,CUST0183,2024-03-27,Mobile,Customer complained that mobile data was slower than expected.,Medium,In Progress,
TICK000316,CUST0184,2023-08-02,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,4
TICK000317,CUST0184,2023-11-03,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,In Progress,
TICK000318,CUST0185,2019-07-05,TV,Customer reported missing channels from the TV package.,High,Closed,0
TICK000319,CUST0185,2022-06-02,TV,Customer reported missing channels from the TV package.,Medium,Closed,2
TICK000320,CUST0185,2021-01-31,TV,Customer confirmed TV channels were restored after support assistance.,Medium,Closed,5
TICK000321,CUST0186,2025-01-05,Mobile,Customer confirmed mobile line activation was completed successfully.,Low,In Progress,
TICK000322,CUST0187,2026-05-23,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,5
TICK000323,CUST0187,2022-08-13,TV,Customer reported missing channels from the TV package.,High,In Progress,
TICK000324,CUST0188,2023-09-19,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,In Progress,
TICK000325,CUST0188,2025-04-20,TV,Customer asked about channel package details.,Low,Open,
TICK000326,CUST0188,2025-02-07,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,6
TICK000327,CUST0190,2023-10-31,Mobile,Customer reported dropped calls and slow mobile data speeds.,Medium,In Progress,
TICK000328,CUST0190,2024-09-13,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,In Progress,
TICK000329,CUST0191,2019-08-15,Internet,Customer contacted support to confirm improved internet speed after router replacement.,Low,Open,
TICK000330,CUST0191,2023-10-19,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Medium,Closed,9
TICK000331,CUST0195,2025-03-12,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Medium,Closed,8
TICK000332,CUST0195,2026-05-12,Billing,Customer requested clarification on monthly bill charges.,Critical,Closed,3
TICK000333,CUST0195,2026-03-21,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Medium,In Progress,
TICK000334,CUST0195,2025-05-16,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,Open,
TICK000335,CUST0195,2025-06-28,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,6
TICK000336,CUST0195,2024-12-03,TV,Customer requested help with streaming app login.,Medium,In Progress,
TICK000337,CUST0195,2025-10-09,TV,Customer experienced pixelation while watching live TV.,High,Closed,2
TICK000338,CUST0196,2024-04-29,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,5
TICK000339,CUST0198,2025-06-23,TV,Customer asked about channel package details.,High,Closed,6
TICK000340,CUST0198,2026-03-18,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Low,Closed,0
TICK000341,CUST0198,2024-04-12,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,7
TICK000342,CUST0199,2026-05-23,Internet,Customer complained about repeated internet drops during work-from-home hours.,Low,Closed,0
TICK000343,CUST0199,2026-04-23,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Closed,8
TICK000344,CUST0200,2024-02-06,Billing,Customer thanked support for explaining the promotional discount on the bill.,High,Closed,10
TICK000345,CUST0200,2022-09-08,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,3
TICK000346,CUST0201,2023-09-20,Mobile,Customer complained that mobile data was slower than expected.,High,Open,
TICK000347,CUST0201,2025-10-12,Mobile,Customer asked about mobile data usage shown on the account.,Medium,In Progress,
TICK000348,CUST0201,2024-07-05,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,2
TICK000349,CUST0202,2025-08-26,TV,Customer confirmed TV channels were restored after support assistance.,High,In Progress,
TICK000350,CUST0202,2019-07-29,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Low,Closed,5
TICK000351,CUST0203,2025-07-10,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,10
TICK000352,CUST0203,2025-07-18,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Critical,Open,
TICK000353,CUST0204,2025-10-09,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Open,
TICK000354,CUST0204,2025-03-31,Service Outage,Customer reported internet and TV outage affecting remote work.,High,Closed,4
TICK000355,CUST0204,2025-05-04,Internet,Customer complained about repeated internet drops during work-from-home hours.,Low,In Progress,
TICK000356,CUST0204,2026-01-28,Internet,Customer complained about repeated internet drops during work-from-home hours.,Critical,Closed,3
TICK000357,CUST0204,2025-05-12,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Critical,In Progress,
TICK000358,CUST0204,2026-02-13,Mobile,Customer reported dropped calls and slow mobile data speeds.,High,Closed,2
TICK000359,CUST0205,2025-04-18,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,9
TICK000360,CUST0206,2025-01-16,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Closed,5
TICK000361,CUST0206,2026-03-01,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Open,
TICK000362,CUST0206,2025-03-02,Billing,Customer asked why promotional pricing changed this month.,Medium,In Progress,
TICK000363,CUST0206,2026-01-25,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,8
TICK000364,CUST0206,2024-12-29,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Open,
TICK000365,CUST0206,2026-03-23,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Open,
TICK000366,CUST0206,2025-05-08,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,In Progress,
TICK000367,CUST0207,2026-02-15,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,Open,
TICK000368,CUST0207,2024-03-29,Internet,Customer complained about repeated internet drops during work-from-home hours.,Critical,In Progress,
TICK000369,CUST0207,2026-05-19,Service Outage,Customer reported internet and TV outage affecting remote work.,High,Closed,7
TICK000370,CUST0207,2025-03-12,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Closed,6
TICK000371,CUST0210,2022-02-25,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,7
TICK000372,CUST0210,2022-01-10,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,3
TICK000373,CUST0211,2024-04-28,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Open,
TICK000374,CUST0211,2025-02-28,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Low,Closed,10
TICK000375,CUST0211,2021-06-23,Internet,Customer asked for guidance on resetting the modem and router.,High,In Progress,
TICK000376,CUST0213,2024-05-15,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,6
TICK000377,CUST0213,2026-02-22,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,7
TICK000378,CUST0214,2026-03-09,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Open,
TICK000379,CUST0214,2026-05-30,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Open,
TICK000380,CUST0214,2025-12-18,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Closed,4
TICK000381,CUST0214,2026-05-10,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,9
TICK000382,CUST0214,2025-12-17,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Closed,1
TICK000383,CUST0214,2025-11-23,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,6
TICK000384,CUST0215,2026-05-14,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Open,
TICK000385,CUST0216,2026-01-04,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,3
TICK000386,CUST0217,2023-06-28,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,0
TICK000387,CUST0218,2020-06-22,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,5
TICK000388,CUST0218,2023-05-10,Internet,Customer reported that internet service is working well after recent upgrade.,Low,Closed,0
TICK000389,CUST0220,2025-12-10,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,In Progress,
TICK000390,CUST0220,2025-05-16,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,3
TICK000391,CUST0220,2024-12-20,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,6
TICK000392,CUST0220,2025-08-10,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,2
TICK000393,CUST0220,2025-01-24,Internet,Customer complained about repeated internet drops during work-from-home hours.,Medium,Closed,5
TICK000394,CUST0220,2026-01-05,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,0
TICK000395,CUST0220,2025-01-01,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Closed,10
TICK000396,CUST0221,2026-04-30,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,10
TICK000397,CUST0222,2024-03-23,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Open,
TICK000398,CUST0222,2024-12-29,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Closed,3
TICK000399,CUST0222,2024-01-02,Service Outage,Customer reported internet and TV outage affecting remote work.,Critical,Closed,3
TICK000400,CUST0222,2025-03-31,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,9
TICK000401,CUST0222,2025-05-27,Mobile,Customer complained that mobile data was slower than expected.,Critical,Open,
TICK000402,CUST0222,2023-11-30,Billing,Customer was frustrated that payment was posted but balance still showed due.,Critical,Open,
TICK000403,CUST0223,2026-04-03,Mobile,Customer requested help activating a new mobile line.,Medium,Open,
TICK000404,CUST0224,2026-02-10,Billing,Customer asked why promotional pricing changed this month.,Critical,Closed,1
TICK000405,CUST0224,2026-01-20,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,7
TICK000406,CUST0224,2025-07-12,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,4
TICK000407,CUST0224,2025-07-02,Internet,Customer asked for guidance on resetting the modem and router.,High,In Progress,
TICK000408,CUST0224,2025-07-08,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,In Progress,
TICK000409,CUST0224,2025-01-02,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Open,
TICK000410,CUST0224,2026-03-15,Billing,Customer thanked support for explaining the promotional discount on the bill.,High,Closed,1
TICK000411,CUST0226,2022-02-20,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,10
TICK000412,CUST0226,2025-12-16,Billing,Customer asked why promotional pricing changed this month.,Low,Closed,8
TICK000413,CUST0228,2025-05-03,Billing,Customer was frustrated that payment was posted but balance still showed due.,Low,Closed,10
TICK000414,CUST0228,2025-01-08,Billing,Customer disputed an unexpected charge on the monthly bill.,Low,Closed,4
TICK000415,CUST0228,2026-04-13,Service Outage,Customer reported internet and TV outage affecting remote work.,High,Closed,4
TICK000416,CUST0228,2025-03-03,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Medium,Open,
TICK000417,CUST0230,2025-08-13,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Critical,Closed,2
TICK000418,CUST0230,2025-08-02,Service Outage,Customer reported internet and TV outage affecting remote work.,High,In Progress,
TICK000419,CUST0230,2026-02-22,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,7
TICK000420,CUST0230,2025-11-03,Internet,Customer asked for guidance on resetting the modem and router.,Critical,Closed,0
TICK000421,CUST0230,2025-06-06,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Critical,Open,
TICK000422,CUST0230,2026-05-19,Mobile,Customer complained that mobile data was slower than expected.,High,Closed,5
TICK000423,CUST0230,2026-05-15,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,3
TICK000424,CUST0231,2025-08-25,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,4
TICK000425,CUST0231,2023-03-06,Billing,Customer asked why promotional pricing changed this month.,Low,Closed,0
TICK000426,CUST0231,2025-06-02,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,0
TICK000427,CUST0231,2021-02-08,Billing,Customer requested clarification on monthly bill charges.,Low,In Progress,
TICK000428,CUST0232,2021-03-26,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,7
TICK000429,CUST0233,2025-09-27,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,3
TICK000430,CUST0234,2023-07-18,TV,Customer experienced pixelation while watching live TV.,High,In Progress,
TICK000431,CUST0234,2022-05-09,TV,Customer asked about channel package details.,Medium,Closed,3
TICK000432,CUST0235,2026-03-23,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,1
TICK000433,CUST0236,2023-12-06,Billing,Customer thanked support for explaining the promotional discount on the bill.,Medium,Closed,10
TICK000434,CUST0236,2026-01-25,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,9
TICK000435,CUST0237,2026-04-07,Billing,Customer requested clarification on monthly bill charges.,Critical,Closed,2
TICK000436,CUST0237,2025-12-04,Mobile,Customer complained that mobile data was slower than expected.,Low,Open,
TICK000437,CUST0237,2025-01-19,TV,Customer experienced pixelation while watching live TV.,High,Open,
TICK000438,CUST0237,2024-09-30,Billing,Customer requested clarification on monthly bill charges.,Medium,Closed,4
TICK000439,CUST0237,2025-09-15,Mobile,Customer complained that mobile data was slower than expected.,Medium,Open,
TICK000440,CUST0237,2024-10-16,Mobile,Customer complained that mobile data was slower than expected.,Medium,Closed,0
TICK000441,CUST0237,2024-11-15,TV,Customer requested help with streaming app login.,High,Closed,9
TICK000442,CUST0239,2024-04-17,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Closed,7
TICK000443,CUST0239,2025-10-19,Billing,Customer was frustrated that payment was posted but balance still showed due.,Low,Closed,7
TICK000444,CUST0239,2022-08-07,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,In Progress,
TICK000445,CUST0239,2023-01-31,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,6
TICK000446,CUST0239,2025-01-30,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,10
TICK000447,CUST0239,2023-01-03,Mobile,Customer reported dropped calls and slow mobile data speeds.,Medium,Closed,7
TICK000448,CUST0239,2025-04-11,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Open,
TICK000449,CUST0241,2024-06-26,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,5
TICK000450,CUST0242,2025-07-19,Mobile,Customer requested help activating a new mobile line.,High,Closed,4
TICK000451,CUST0242,2024-04-01,Billing,Customer requested clarification on monthly bill charges.,High,Closed,5
TICK000452,CUST0243,2026-04-22,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,0
TICK000453,CUST0243,2025-06-27,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,4
TICK000454,CUST0245,2026-03-10,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,Closed,8
TICK000455,CUST0245,2026-04-17,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,3
TICK000456,CUST0246,2022-07-02,Internet,Customer asked for guidance on resetting the modem and router.,Medium,Closed,3
TICK000457,CUST0247,2026-04-11,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,In Progress,
TICK000458,CUST0247,2026-03-03,Internet,Customer stated that the router reboot did not fix the connectivity issue.,High,Closed,9
TICK000459,CUST0248,2026-06-01,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,0
TICK000460,CUST0249,2026-01-23,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,1
TICK000461,CUST0249,2024-09-13,Internet,Customer reported that internet service is working well after recent upgrade.,Low,Closed,10
TICK000462,CUST0250,2023-04-27,Billing,Customer requested clarification on monthly bill charges.,High,Closed,6
TICK000463,CUST0250,2022-04-04,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,Closed,6
TICK000464,CUST0250,2025-07-23,Mobile,Customer reported dropped calls and slow mobile data speeds.,Medium,Closed,5
TICK000465,CUST0251,2025-03-25,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,6
TICK000466,CUST0251,2024-06-07,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,Closed,9
TICK000467,CUST0251,2025-03-30,Internet,Customer asked for guidance on resetting the modem and router.,Low,Open,
TICK000468,CUST0251,2025-09-25,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,High,In Progress,
TICK000469,CUST0251,2026-01-10,Service Outage,Customer confirmed service was restored after the outage notification.,Critical,Open,
TICK000470,CUST0252,2024-11-17,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Critical,Closed,0
TICK000471,CUST0252,2023-11-16,Internet,Customer complained about repeated internet drops during work-from-home hours.,High,In Progress,
TICK000472,CUST0252,2026-04-29,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,6
TICK000473,CUST0252,2025-01-17,Service Outage,Customer requested estimated restoration time for neighborhood outage.,High,In Progress,
TICK000474,CUST0254,2025-12-27,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,8
TICK000475,CUST0254,2026-01-02,Mobile,Customer reported dropped calls and slow mobile data speeds.,High,Closed,1
TICK000476,CUST0256,2024-11-14,TV,Customer requested help with streaming app login.,Medium,Closed,6
TICK000477,CUST0257,2026-05-22,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,4
TICK000478,CUST0257,2025-08-08,Mobile,Customer requested help activating a new mobile line.,Medium,Closed,6
TICK000479,CUST0257,2025-07-24,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,High,Closed,4
TICK000480,CUST0257,2025-05-31,Internet,Customer complained about repeated internet drops during work-from-home hours.,Low,Closed,6
TICK000481,CUST0257,2025-06-19,Internet,Customer complained about repeated internet drops during work-from-home hours.,Low,In Progress,
TICK000482,CUST0257,2026-03-24,Service Outage,Customer reported internet and TV outage affecting remote work.,Medium,Closed,4
TICK000483,CUST0257,2025-10-07,Billing,Customer disputed an unexpected charge on the monthly bill.,Medium,Closed,5
TICK000484,CUST0257,2026-01-20,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Closed,7
TICK000485,CUST0258,2024-12-18,Billing,Customer asked why promotional pricing changed this month.,Medium,Closed,3
TICK000486,CUST0259,2025-04-28,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,2
TICK000487,CUST0259,2025-07-24,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,3
TICK000488,CUST0261,2024-05-02,TV,Customer requested help with streaming app login.,High,Closed,4
TICK000489,CUST0261,2023-05-24,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Open,
TICK000490,CUST0262,2023-02-02,Billing,Customer requested clarification on monthly bill charges.,High,Open,
TICK000491,CUST0263,2025-09-16,Mobile,Customer asked about mobile data usage shown on the account.,Medium,Closed,8
TICK000492,CUST0264,2025-11-27,Service Outage,Customer was dissatisfied with repeated service outages in the area.,Medium,In Progress,
TICK000493,CUST0264,2025-08-08,Internet,Customer stated that the router reboot did not fix the connectivity issue.,Medium,Closed,0
TICK000494,CUST0264,2025-09-19,Internet,Customer reported slow internet speeds every evening between 7 PM and 10 PM.,Medium,Open,
TICK000495,CUST0264,2025-10-01,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,6
TICK000496,CUST0266,2026-01-21,Internet,Customer asked for guidance on resetting the modem and router.,Low,Closed,5
TICK000497,CUST0266,2025-11-27,Billing,Customer was frustrated that payment was posted but balance still showed due.,Low,In Progress,
TICK000498,CUST0267,2024-08-06,Billing,Customer requested clarification on monthly bill charges.,High,Closed,6
TICK000499,CUST0267,2025-09-15,Service Outage,Customer reported internet and TV outage affecting remote work.,Critical,Closed,1
TICK000500,CUST0267,2025-07-13,Mobile,Customer requested help activating a new mobile line.,High,Closed,7
TICK000501,CUST0267,2024-05-07,Billing,Customer was frustrated that payment was posted but balance still showed due.,High,Closed,10
TICK000502,CUST0267,2025-06-01,Billing,Customer disputed an unexpected charge on the monthly bill.,High,Closed,6
TICK000503,CUST0267,2025-07-05,Mobile,Customer complained that mobile data was slower than expected.,High,Closed,2
TICK000504,CUST0267,2023-11-18,Billing,Customer requested clarification on monthly bill charges.,Critical,Closed,2
TICK000505,CUST0267,2025-07-16,Service Outage,Customer was dissatisfied with repeated service outages in the area.,High,Closed,0
TICK000506,CUST0268,2026-05-25,Internet,Customer asked for guidance on resetting the modem and router.,High,Closed,6
TICK000507,CUST0268,2025-04-26,Internet,Customer requested help troubleshooting intermittent Wi-Fi connectivity.,Medium,Closed,1
TICK000508,CUST0269,2022-01-07,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,Closed,3
TICK000509,CUST0271,2023-10-02,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,Closed,8
TICK000510,CUST0272,2022-10-07,Billing,Customer was frustrated that payment was posted but balance still showed due.,High,Closed,9
TICK000511,CUST0272,2024-03-16,Billing,Customer was frustrated that payment was posted but balance still showed due.,Medium,In Progress,
TICK000512,CUST0272,2023-01-10,Billing,Customer requested clarification on monthly bill charges.,High,Closed,1
TICK000513,CUST0272,2026-05-20,Service Outage,Customer requested estimated restoration time for neighborhood outage.,Medium,In Progress,
TICK000514,CUST0272,2024-11-18,Service Outage,Customer reported internet and TV outage affecting remote work.,Low,In Progress,
